[2025-11-30 14:22:04,362] ERROR: Unexpected error processing AI-IshanBhatt/TV_Script: name 'BASE' is not defined
[2025-11-30 14:22:04,362] INFO: Processing 31/4007: AI-IshanBhatt/advent_of_code
[2025-11-30 14:22:04,362] ERROR: Unexpected error processing AI-IshanBhatt/advent_of_code: name 'BASE' is not defined
[2025-11-30 14:22:04,363] INFO: Processing 32/4007: AI-IshanBhatt/boltons
[2025-11-30 14:22:04,363] ERROR: Unexpected error processing AI-IshanBhatt/boltons: name 'BASE' is not defined
[2025-11-30 14:22:04,363] INFO: Processing 33/4007: AI-IshanBhatt/face_embeddings
[2025-11-30 14:22:04,363] ERROR: Unexpected error processing AI-IshanBhatt/face_embeddings: name 'BASE' is not defined
[2025-11-30 14:22:04,364] INFO: Processing 34/4007: AI-IshanBhatt/minfinder
[2025-11-30 14:22:04,364] ERROR: Unexpected error processing AI-IshanBhatt/minfinder: name 'BASE' is not defined
[2025-11-30 14:22:04,364] INFO: Processing 35/4007: AI-IshanBhatt/rally
[2025-11-30 14:22:04,364] ERROR: Unexpected error processing AI-IshanBhatt/rally: name 'BASE' is not defined
[2025-11-30 14:22:04,364] INFO: Processing 36/4007: AI-IshanBhatt/rally-eventdata-track
[2025-11-30 14:22:04,365] ERROR: Unexpected error processing AI-IshanBhatt/rally-eventdata-track: name 'BASE' is not defined
[2025-11-30 14:22:04,365] INFO: Processing 37/4007: AI-IshanBhatt/rally-teams
[2025-11-30 14:22:04,365] ERROR: Unexpected error processing AI-IshanBhatt/rally-teams: name 'BASE' is not defined
[2025-11-30 14:22:04,365] INFO: Processing 38/4007: AI-IshanBhatt/rally-tracks
[2025-11-30 14:22:04,366] ERROR: Unexpected error processing AI-IshanBhatt/rally-tracks: name 'BASE' is not defined
[2025-11-30 14:22:04,366] INFO: Processing 39/4007: Andru1999/IWBD
[2025-11-30 14:22:04,366] ERROR: Unexpected error processing Andru1999/IWBD: name 'BASE' is not defined
[2025-11-30 14:22:04,366] INFO: Processing 40/4007: Andru1999/fintech
[2025-11-30 14:22:04,367] ERROR: Unexpected error processing Andru1999/fintech: name 'BASE' is not defined
[2025-11-30 14:22:04,367] INFO: Processing 41/4007: Andru1999/linux
[2025-11-30 14:22:04,367] ERROR: Unexpected error processing Andru1999/linux: name 'BASE' is not defined
[2025-11-30 14:22:04,367] INFO: Processing 42/4007: Andru1999/pyTelegramBotAPI
[2025-11-30 14:22:04,367] ERROR: Unexpected error processing Andru1999/pyTelegramBotAPI: name 'BASE' is not defined
[2025-11-30 14:22:04,368] INFO: Processing 43/4007: Andru1999/rust-www
[2025-11-30 14:22:04,368] ERROR: Unexpected error processing Andru1999/rust-www: name 'BASE' is not defined
[2025-11-30 14:22:04,368] INFO: Processing 44/4007: Andru1999/sqlalchemy
[2025-11-30 14:22:04,368] ERROR: Unexpected error processing Andru1999/sqlalchemy: name 'BASE' is not defined
[2025-11-30 14:22:04,369] INFO: Processing 45/4007: AndydeCleyre/1576
[2025-11-30 14:22:04,369] ERROR: Unexpected error processing AndydeCleyre/1576: name 'BASE' is not defined
[2025-11-30 14:22:04,369] INFO: Processing 46/4007: AndydeCleyre/AndydeCleyre
[2025-11-30 14:22:04,369] ERROR: Unexpected error processing AndydeCleyre/AndydeCleyre: name 'BASE' is not defined
[2025-11-30 14:22:04,370] INFO: Processing 47/4007: AndydeCleyre/advent-of-code-2018
[2025-11-30 14:22:04,370] ERROR: Unexpected error processing AndydeCleyre/advent-of-code-2018: name 'BASE' is not defined
[2025-11-30 14:22:04,370] INFO: Processing 48/4007: AndydeCleyre/advent-of-code-2021
[2025-11-30 14:22:04,370] ERROR: Unexpected error processing AndydeCleyre/advent-of-code-2021: name 'BASE' is not defined
[2025-11-30 14:22:04,371] INFO: Processing 49/4007: AndydeCleyre/agkozak-zsh-prompt
[2025-11-30 14:22:04,371] ERROR: Unexpected error processing AndydeCleyre/agkozak-zsh-prompt: name 'BASE' is not defined
[2025-11-30 14:22:04,371] INFO: Processing 50/4007: AndydeCleyre/anbox
[2025-11-30 14:22:04,371] ERROR: Unexpected error processing AndydeCleyre/anbox: name 'BASE' is not defined
[2025-11-30 14:22:04,372] INFO: Processing 51/4007: AndydeCleyre/ansible
[2025-11-30 14:22:04,372] ERROR: Unexpected error processing AndydeCleyre/ansible: name 'BASE' is not defined
[2025-11-30 14:22:04,372] INFO: Processing 52/4007: AndydeCleyre/aoc-2022-roc
[2025-11-30 14:22:04,373] ERROR: Unexpected error processing AndydeCleyre/aoc-2022-roc: name 'BASE' is not defined
[2025-11-30 14:22:04,374] INFO: Processing 53/4007: AndydeCleyre/aoc-2023
[2025-11-30 14:22:04,374] ERROR: Unexpected error processing AndydeCleyre/aoc-2023: name 'BASE' is not defined
[2025-11-30 14:22:04,374] INFO: Processing 54/4007: AndydeCleyre/aoc-2024
[2025-11-30 14:22:04,375] ERROR: Unexpected error processing AndydeCleyre/aoc-2024: name 'BASE' is not defined
[2025-11-30 14:22:04,375] INFO: Processing 55/4007: AndydeCleyre/archbuilder_iosevka
[2025-11-30 14:22:04,376] ERROR: Unexpected error processing AndydeCleyre/archbuilder_iosevka: name 'BASE' is not defined
[2025-11-30 14:22:04,376] INFO: Processing 56/4007: AndydeCleyre/archbuilder_telegram-desktop-userfonts
[2025-11-30 14:22:04,376] ERROR: Unexpected error processing AndydeCleyre/archbuilder_telegram-desktop-userfonts: name 'BASE' is not defined
[2025-11-30 14:22:04,377] INFO: Processing 57/4007: AndydeCleyre/awesome-zsh-plugins
[2025-11-30 14:22:04,377] ERROR: Unexpected error processing AndydeCleyre/awesome-zsh-plugins: name 'BASE' is not defined
[2025-11-30 14:22:04,377] INFO: Processing 58/4007: AndydeCleyre/bleewright
[2025-11-30 14:22:04,378] ERROR: Unexpected error processing AndydeCleyre/bleewright: name 'BASE' is not defined
[2025-11-30 14:22:04,378] INFO: Processing 59/4007: AndydeCleyre/bookme
[2025-11-30 14:22:04,378] ERROR: Unexpected error processing AndydeCleyre/bookme: name 'BASE' is not defined
[2025-11-30 14:22:04,379] INFO: Processing 60/4007: AndydeCleyre/bottombar
[2025-11-30 14:22:04,379] ERROR: Unexpected error processing AndydeCleyre/bottombar: name 'BASE' is not defined
[2025-11-30 14:22:04,380] INFO: Processing 61/4007: AndydeCleyre/breeze
[2025-11-30 14:22:04,380] ERROR: Unexpected error processing AndydeCleyre/breeze: name 'BASE' is not defined
[2025-11-30 14:22:04,380] INFO: Processing 62/4007: AndydeCleyre/cfgdiff
[2025-11-30 14:22:04,381] ERROR: Unexpected error processing AndydeCleyre/cfgdiff: name 'BASE' is not defined
[2025-11-30 14:22:04,381] INFO: Processing 63/4007: Badiboy/ArduinoMakerChallenge
[2025-11-30 14:22:04,382] ERROR: Unexpected error processing Badiboy/ArduinoMakerChallenge: name 'BASE' is not defined
[2025-11-30 14:22:04,382] INFO: Processing 64/4007: Badiboy/IoTForEveryoneChallenge
[2025-11-30 14:22:04,382] ERROR: Unexpected error processing Badiboy/IoTForEveryoneChallenge: name 'BASE' is not defined
[2025-11-30 14:22:04,383] INFO: Processing 65/4007: Badiboy/TerminatorChallenge
[2025-11-30 14:22:04,383] ERROR: Unexpected error processing Badiboy/TerminatorChallenge: name 'BASE' is not defined
[2025-11-30 14:22:04,383] INFO: Processing 66/4007: Badiboy/WebSocketWrapper
[2025-11-30 14:22:04,384] ERROR: Unexpected error processing Badiboy/WebSocketWrapper: name 'BASE' is not defined
[2025-11-30 14:22:04,384] INFO: Processing 67/4007: Badiboy/bscscan-python
[2025-11-30 14:22:04,384] ERROR: Unexpected error processing Badiboy/bscscan-python: name 'BASE' is not defined
[2025-11-30 14:22:04,385] INFO: Processing 68/4007: Badiboy/payeer_api
[2025-11-30 14:22:04,385] ERROR: Unexpected error processing Badiboy/payeer_api: name 'BASE' is not defined
[2025-11-30 14:22:04,385] INFO: Processing 69/4007: Badiboy/perfectmoney
[2025-11-30 14:22:04,385] ERROR: Unexpected error processing Badiboy/perfectmoney: name 'BASE' is not defined
[2025-11-30 14:22:04,386] INFO: Processing 70/4007: Badiboy/pyCryptoPayAPI
[2025-11-30 14:22:04,386] ERROR: Unexpected error processing Badiboy/pyCryptoPayAPI: name 'BASE' is not defined
[2025-11-30 14:22:04,387] INFO: Processing 71/4007: Badiboy/pyCryptomusAPI
[2025-11-30 14:22:04,387] ERROR: Unexpected error processing Badiboy/pyCryptomusAPI: name 'BASE' is not defined
[2025-11-30 14:22:04,388] INFO: Processing 72/4007: Badiboy/pyOxaPayAPI
[2025-11-30 14:22:04,388] ERROR: Unexpected error processing Badiboy/pyOxaPayAPI: name 'BASE' is not defined
[2025-11-30 14:22:04,389] INFO: Processing 73/4007: Badiboy/pyPayokAPI
[2025-11-30 14:22:04,389] ERROR: Unexpected error processing Badiboy/pyPayokAPI: name 'BASE' is not defined
[2025-11-30 14:22:04,390] INFO: Processing 74/4007: Badiboy/pyTONPublicAPI
[2025-11-30 14:22:04,390] ERROR: Unexpected error processing Badiboy/pyTONPublicAPI: name 'BASE' is not defined
[2025-11-30 14:22:04,390] INFO: Processing 75/4007: Badiboy/pyTelegramBotAPI
[2025-11-30 14:22:04,391] ERROR: Unexpected error processing Badiboy/pyTelegramBotAPI: name 'BASE' is not defined
[2025-11-30 14:22:04,391] INFO: Processing 76/4007: Badiboy/yandex-money-sdk-python
