artist,genre
Fuel (band),alternative rock hard rock post grunge alternative metal
Everclear (band),alternative rock power pop pop rock punk rock
Puddle of Mudd,post grunge hard rock alternative rock
Saliva (band),nu metal post grunge alternative metal rap metal hard rock
Volbeat,heavy metal hard rock rockabilly psychobilly
Filter (band),industrial rock post grunge alternative rock industrial metal alternative metal
Shinedown,hard rock alternative metal alternative rock
Bullet for My Valentine,melodic metalcore thrash metal hard rock
Korn,nu metal alternative metal
Trivium (band),metalcore thrash metal heavy metal progressive metal
Seether,post grunge hard rock alternative rock nu metal
Lacuna Coil,gothic metal alternative metal
Iron Maiden,heavy metal
Judas Priest,heavy metal
Rob Zombie,industrial metal shock rock groove metal alternative metal hard rock nu metal
Dire Straits,roots rock blues rock pub rock
Sepultura,groove metal thrash metal alternative metal
Slayer,thrash metal
Bruce Springsteen,rock
Bruce Springsteen,heartland rock
Bruce Springsteen,folk
Bruce Springsteen,pop rock
Marilyn Manson (band),industrial rock industrial metal gothic rock alternative metal
Megadeth,thrash metal
Megadeth,speed metal
Megadeth,heavy metal
Bob Seger,rock
Bob Seger,heartland rock
Bob Seger,roots rock
Def Leppard,hard rock glam metal power pop
Killswitch Engage,melodic metalcore
Avenged Sevenfold,heavy metal
Deftones,alternative metal art rock shoegaze
Slipknot (band),nu metal alternative metal
Rage Against the Machine,rap metal rap rock funk metal alternative metal
Third Eye Blind,alternative rock pop rock power pop pop punk
Faith No More,alternative metal funk metal alternative rock experimental rock
Harry Chapin,folk rock
Harry Chapin,pop rock
Linkin Park,alternative rock nu metal alternative metal electronic rock pop rock
America (band),soft rock
America (band),folk rock
America (band),pop rock
America (band),country rock
The Who,rock hard rock proto punk
Three Dog Night,pop rock
Three Dog Night,soft rock
Three Dog Night,roots rock
Three Dog Night,funk rock
Three Dog Night,blue eyed soul
"Crosby, Stills, Nash & Young",folk rock
"Crosby, Stills, Nash & Young",soft rock
"Crosby, Stills, Nash & Young",folk pop
Toto (band),arena rock pop rock hard rock jazz fusion progressive rock
Eagles (band),rock
Eagles (band),country rock
Eagles (band),soft rock
Journey (band),arena rock hard rock progressive rock jazz rock
Jackson Browne,rock
Jackson Browne,folk rock
Jackson Browne,soft rock
Jackson Browne,pop rock
Jackson Browne,country rock
George Harrison,rock
George Harrison,pop
George Harrison,indian classical
Christopher Cross,rock pop soft rock yacht rock
John Mayall & the Bluesbreakers,british blues
John Mayall & the Bluesbreakers,blues rock
Cream (band),psychedelic rock blues rock acid rock hard rock jam rock
Fleetwood Mac,pop rock soft rock blues rock art pop
John Mayall,british blues blues rock jazz rock
Jefferson Starship,rock hard rock psychedelic rock progressive rock soft rock
Eric Clapton,rock blues
Deep Purple,hard rock
Deep Purple,heavy metal
Deep Purple,progressive rock
Whitesnake,hard rock blues rock glam metal
Great White,hard rock glam metal
Quiet Riot,heavy metal hard rock glam metal
Queensrÿche,progressive metal heavy metal
Alice in Chains,grunge alternative metal alternative rock sludge metal
Yes (band),progressive rock art rock symphonic rock pop rock
AC/DC,hard rock blues rock heavy metal
Ozzy Osbourne,heavy metal hard rock
Twisted Sister,heavy metal glam metal hard rock shock rock
System of a Down,alternative metal nu metal hard rock progressive metal
Black Sabbath,heavy metal
White Zombie (band),groove metal stoner rock dance rock industrial metal alternative metal noise rock
Bill Haley & His Comets,rock and roll
Bill Haley & His Comets,rockabilly
Bill Haley & His Comets,western swing
Bee Gees,disco pop soul rock soft rock
Queens of the Stone Age,alternative rock
Queens of the Stone Age,stoner rock
Queens of the Stone Age,desert rock
Queens of the Stone Age,alternative metal
Robert Plant,rock
Robert Plant,blues
Robert Plant,folk
Robert Plant,country
Robert Plant,hard rock
Robert Plant,heavy metal
Billy Joel,rock soft rock
Buddy Holly,rock and roll
Buddy Holly,rockabilly
Buddy Holly,pop
Buddy Holly,country
Jerry Lee Lewis,rock and roll rockabilly country gospel blues
Jack White,blues rock
Jack White,garage rock revival
Jack White,alternative rock
Jack White,punk blues
Jack White,experimental rock
Rod Stewart,rock pop blue eyed soul blues rock folk rock soft rock disco traditional pop
Sting (musician),pop
Sting (musician),new wave
Sting (musician),post punk
Sting (musician),soft rock
Elvis Costello,"rock pop new wave power pop punk rock pub rockcarr, roy. ""pub rock"" . nme. 29 october 1977."
Phil Collins,pop soft rock progressive rock art rock
The Go-Go's,new wave pop rock power pop post punk punk rock
Green Day,punk rock pop punk
The Bangles,pop rock
The Bangles,power pop
The Bangles,new wave
The Bangles,paisley underground
Billy Idol,new wave
Billy Idol,hard rock
Billy Idol,pop rock
Billy Idol,punk rock
The Police,new wave reggae rock pop rock
Blink-182,pop punk punk rock alternative rock
Nine Inch Nails,industrial rock industrial electronic rock industrial metal ambient
Blondie (band),new wave punk rock pop rock pop disco
Weezer,alternative rock power pop geek rock pop punk emo
AFI (band),punk rock gothic rock post hardcore emo hardcore punk
Death Cab for Cutie,indie rock alternative rock indie pop emo
John Mayer,rock pop blues
Jimmy Eat World,alternative rock emo pop punk power pop pop rock
Creed (band),post grunge hard rock alternative metal
No Doubt,ska punk pop rock alternative rock pop punk reggae
My Chemical Romance,alternative rock emo post hardcore
Foo Fighters,alternative rock post grunge
Avril Lavigne,pop punk alternative rock pop rock pop
Breaking Benjamin,hard rock post grunge alternative metal
The Everly Brothers,rock and roll rockabilly country rock country
Simon & Garfunkel,folk rock
Linda Ronstadt,country
Linda Ronstadt,rock
Linda Ronstadt,pop
Hall & Oates,pop rock blue eyed soul soft rock r and b
Neil Young,rock
Neil Young,folk rock
Neil Young,country rock
Beck,alternative rock folk rock psychedelia electronic alt country lo fi
Soundgarden,grunge heavy metal alternative metal
Creedence Clearwater Revival,swamp rock roots rock blues rock country rock southern rock
Iggy Pop,rock
Iggy Pop,punk rock
Iggy Pop,proto punk
Iggy Pop,hard rock
Iggy Pop,garage rock
Pixies (band),alternative rock
Pixies (band),indie rock
Pixies (band),noise pop
Pixies (band),punk rock
Pixies (band),surf rock
Sonic Youth,noise rock alternative rock experimental rock indie rock no wave
R.E.M.,alternative rock jangle pop folk rock college rock post punk
Silverchair,alternative rock grunge post grunge
The Doors,psychedelic rock
The Doors,acid rock
Tool (band),alternative metal
Tool (band),art rock
Tool (band),progressive metal
Tool (band),progressive rock
INXS,new wave pub rock dance rock funk rock alternative rock
The Offspring,punk rock skate punk alternative rock
Donovan,folk
Donovan,pop
Donovan,psychedelia
Donovan,rock
Jefferson Airplane,psychedelic rock acid rock folk rock
The Animals,blues rock
The Animals,r and b
The Animals,psychedelic rock
The Animals,progressive rock
The Animals,rock and roll
Herman's Hermits,beat
Herman's Hermits,pop rock
Herman's Hermits,bubblegumallmusic.com biography. retrieved 7 march 2011.
The Flaming Lips,neo psychedelia experimental rock alternative rock indie rock psychedelic rock
The Moody Blues,progressive rock
The Moody Blues,art rock
The Moody Blues,psychedelic rock
The Moody Blues,pop rock
The Zombies,rock
The Zombies,beat
The Zombies,baroque pop
The Zombies,r and byeah yeah yeah the story of modern pop by bob stanley · 2013
The Zombies,proto prog
Ringo Starr,rock
Ringo Starr,pop
Dropkick Murphys,celtic punk folk punk oi!
April Wine,hard rock
Jethro Tull (band),progressive rock folk rock blues rock
Loverboy,arena rock hard rock pop rock
Badfinger,rock power pop
Blue Öyster Cult,hard rock heavy metal occult rock psychedelic rock progressive rock acid rock
The Guess Who,hard rock
The Guess Who,psychedelic rock
The Guess Who,blues rock
The Guess Who,garage rock
Eddie Money,rock
Eddie Money,pop rock
Eddie Money,hard rock
Peter Frampton,rock
Uriah Heep (band),hard rock progressive rock heavy metal
Bachman–Turner Overdrive,rock
Bachman–Turner Overdrive,hard rock
Bachman–Turner Overdrive,boogie rock
Everlast,hip hop folk rock blues
Santana (band),latin rock
Santana (band),blues rock
Santana (band),psychedelic rock
Santana (band),acid rock
Santana (band),chicano rock
Santana (band),jazz fusion
Santana (band),yacht rock
Tom Petty,rock heartland rock country rock southern rock
Sheryl Crow,country rock pop folk blues heartland rock
The Pretenders,rock
The Pretenders,pop rock
The Pretenders,new wave
The Pretenders,alternative rock
Tom Petty and the Heartbreakers,rock heartland rock
Crowded House,pop rock
Crowded House,jangle pop
Crowded House,alternative rock
Hole (band),alternative rock
Hole (band),grunge
Hole (band),punk rock
Hole (band),noise rock
Hole (band),power pop
Janis Joplin,psychedelic rock
Janis Joplin,blues rock
Janis Joplin,soul
Janis Joplin,blues
Don Henley,rock
Don Henley,country rock
Don Henley,pop rock
Don Henley,hard rock
Don Henley,folk rock
Joe Walsh,hard rock
Joe Walsh,blues rock
Joe Walsh,pop rock
Joe Walsh,progressive rock
Joe Walsh,country rock
The Fray,alternative rock
The Fray,pop rock
The Fray,soft rock
The Fray,christian rock
Keane (band),"alternative rock rock ""piano driven rock quartet"" ""mainstream rock"" post britpopandy bennett, jon stratton , britpop and the english music tradition, ashgate publishing, p. 164. soft rock"
Coldplay,alternative rock pop rock pop
Counting Crows,alternative rock roots rock pop rock
Grand Funk Railroad,hard rock
Grand Funk Railroad,arena rock
Slade,glam rock
REO Speedwagon,arena rock
REO Speedwagon,pop rock
REO Speedwagon,hard rock
REO Speedwagon,aor
REO Speedwagon,blues rock
Chicago (band),rock soft rock pop rock jazz rock
38 Special (band),hard rock
38 Special (band),southern rock
38 Special (band),boogie rock
38 Special (band),blues rock
Status Quo (band),rock
Status Quo (band),boogie rock
Status Quo (band),hard rock
Status Quo (band),psychedelia
Pat Benatar,rock
Pat Benatar,hard rock
Pat Benatar,pop rock
Ambrosia (band),progressive rock soft rock jazz fusion blue eyed soul
The Alan Parsons Project,progressive rock
The Alan Parsons Project,art rock
The Alan Parsons Project,progressive pop
The Alan Parsons Project,soft rock
Edgar Winter,southern rock
Edgar Winter,pop
Edgar Winter,jazz fusion
Edgar Winter,blues rock
Edgar Winter,blue eyed soul
Edgar Winter,boogie rock
Marilyn Manson,industrial rock
Marilyn Manson,industrial metal
Marilyn Manson,gothic rock
Marilyn Manson,alternative metal
Marilyn Manson,shock rock
The Smashing Pumpkins,alternative rock
Jane's Addiction,alternative rock alternative metal funk metal psychedelic rock
Alanis Morissette,alternative rock electronica trip hop indie pop pop rock
P.O.D.,nu metal alternative metal christian metal hardcore punk
Chevelle (band),hard rock alternative metal alternative rock post grunge
Primus (band),alternative metal funk metal experimental rock progressive rock
Theory of a Deadman,post grunge hard rock alternative metal pop rock
Black Stone Cherry,hard rock
Black Stone Cherry,southern rock
Bush (British band),post grunge grunge alternative rock
Alter Bridge,hard rock heavy metal alternative metal progressive metal alternative rock post grunge
Hinder,post grunge hard rock
10 Years (band),alternative metal
10 Years (band),progressive metal
10 Years (band),post grunge
10 Years (band),nu metal
Little River Band,rock
Little River Band,aor
Little River Band,pop rock
Little River Band,soft rock
Glenn Frey,rock
Glenn Frey,pop rock
Glenn Frey,soft rock
Glenn Frey,country rock
Glenn Frey,hard rock
Cold Chisel,pub rock r and b hard rock rock and roll
Air Supply,soft rock
Air Supply,pop rock
Air Supply,pop
The Cure,gothic rock post punk new wave
Stone Sour,alternative metal post grunge alternative rock
The Clash,punk rock new wave reggae experimental rock
Mudvayne,progressive metal hard rock
Lamb of God (band),groove metal metalcore thrash metal
Fats Domino,rock and roll
Fats Domino,new orleans r and b
Fats Domino,boogie woogie
Fats Domino,blues
Icehouse (band),rock
Icehouse (band),new wave
Icehouse (band),synth pop
Muse (band),alternative rock progressive rock space rock hard rock art rock electronic rock
Interpol (band),indie rock
Interpol (band),post punk revival
Foals (band),indie rock alternative rock art rock dance punk
The Lumineers,indie folk
The Lumineers,folk rock
The Lumineers,americana
Mumford & Sons,folk rock
Mumford & Sons,alternative rock
Mumford & Sons,indie folk
Mumford & Sons,americana
Mumford & Sons,country
Mumford & Sons,bluegrass
Dashboard Confessional,emo alternative rock acoustic rock
The Used,emo screamo pop punk punk rock alternative rock
Good Charlotte,pop punk alternative rock emo pop rock
Three Days Grace,post grunge hard rock
Bring Me the Horizon,metalcore alternative metal alternative rock post hardcore electronic rock
Arctic Monkeys,indie rock garage rock lounge pop
Oasis (band),rock
Oasis (band),britpop
T. Rex (band),glam rock pop
Rammstein,industrial metal
Garbage (band),alternative rock electronic rock trip hop industrial rock
Adam Ant,new wave post punk alternative rock dance rock
Joy Division,post punk new wavemultiple sources : gothic rockmultiple sources :
Evanescence,alternative metal gothic metal gothic rock hard rock industrial rock symphonic metal nu metal
The Hollies,rock
The Hollies,pop
Manfred Mann Chapter Three,jazz rock
Traffic (band),progressive rock
Traffic (band),psychedelic rock
Traffic (band),jazz rock
Traffic (band),folk rock
Traffic (band),psychedelic pop
Steve Winwood,blue eyed soul r and b rock pop
The Jam,mod revival new wave punk rock power pop
The Kinks,rock
The Kinks,pop
Sixto Rodriguez,folk rock
Sixto Rodriguez,psychedelic folk
Sixto Rodriguez,psychedelic rock
Charlie Daniels,southern rock
Charlie Daniels,country rock
Charlie Daniels,progressive country
Charlie Daniels,bluegrass
Flyleaf (band),alternative rock post grunge hard rock alternative metal christian rock
Disturbed (band),heavy metal alternative metal nu metal
Steve Vai,instrumental rock hard rock heavy metal progressive metal
Imagine Dragons,pop rock electropop pop alternative rock
Arcade Fire,indie rock
Arcade Fire,art rock
Arcade Fire,dance rock
Arcade Fire,baroque pop
X Ambassadors,alternative rock
X Ambassadors,indie rock
X Ambassadors,indie pop
X Ambassadors,pop rock
X Ambassadors,alternative pop
Bread (band),soft rock
10cc,art rock
10cc,art pop
10cc,progressive pop
10cc,soft rock
10cc,pop rock
The Band,roots rock
The Band,americana
The Band,folk rock
The Band,country rock
The Yardbirds,blues rockthe following sources refer to the yardbirds as blues rock: psychedelic rockthe following sources refer to the yardbirds as psychedelic rock: r and bthe following sources refer to the yardbirds as rhythm and blues:
Van Morrison,blue eyed soul celtic rock r and b folk blues jazz country gospel christian
Manfred Mann,blues rock r and b pop beat psychedelia
Stevie Ray Vaughan,texas blues
Stevie Ray Vaughan,blues rock
Stevie Ray Vaughan,electric blues
Stevie Ray Vaughan,rock and roll
Skillet (band),christian rock alternative rock alternative metal post grunge nu metal
3 Doors Down,post grunge hard rock alternative rock
ABBA,pop disco pop rock europop
Bon Jovi,hard rock glam metal arena rock pop rock
Drowning Pool,alternative metal nu metal post grunge
Saving Abel,rock hard rock post grunge southern rock
Gary Glitter,glam rock
Gary Glitter,rock and roll
Gary Glitter,pop rock
Gary Glitter,hard rock
Gary Glitter,disco
The Sweet,glam rock
The Sweet,hard rock
The Sweet,power pop
The Sweet,bubblegum
Grateful Dead,rock
Finger Eleven,alternative rock alternative metal post grunge hard rock
Our Lady Peace,alternative rock post grunge
The Tragically Hip,alternative rock roots rock folk rock
Dio (band),heavy metal
Asia (band),progressive rock
Asia (band),aor
Asia (band),pop rock
Steppenwolf (band),psychedelic rock
Steppenwolf (band),blues rock
Steppenwolf (band),acid rock
Steppenwolf (band),hard rock
Steppenwolf (band),heavy metal
Steppenwolf (band),garage rock
Manfred Mann's Earth Band,progressive rock
Manfred Mann's Earth Band,hard rock
Manfred Mann's Earth Band,jazz rock
Ghost (Swedish band),hard rock heavy metal arena rock pop rock
Accept (band),heavy metal
Bloodhound Gang,alternative rock comedy rock rap rock pop punk
John Mellencamp,heartland rock roots rock folk rock
The Byrds,folk rock
The Byrds,psychedelia
The Byrds,raga rock
The Byrds,country rock
The Byrds,jangle pop
Traveling Wilburys,rock
Dan Fogelberg,rock
Dan Fogelberg,country
Dan Fogelberg,folk
Dan Fogelberg,folk rock
Dan Fogelberg,soft rock
Dan Fogelberg,pop rock
Dan Fogelberg,pop
"Emerson, Lake & Palmer",progressive rock art rock
Jeff Buckley,alternative rock
Jeff Buckley,folk rock
Jeff Buckley,blues
Living Colour,hard rockthe following sources refer to living colour as hard rock: funk metalthe following sources refer to living colour as funk metal: alternative metalthe following sources refer to living colour as alternative metal:
Faces (band),rock
Faces (band),blues
The Cardigans,alternative rock pop rock indie rock indie pop
Men at Work,new wave
Men at Work,pop rock
Men at Work,reggae rock
The Cab,alternative rock pop punk power pop pop
Boys Like Girls,pop rock
Boys Like Girls,pop punk
Boys Like Girls,emo pop
Boys Like Girls,the daily aztec
Boys Like Girls,mtv
Boys Like Girls,alternative rock
Boys Like Girls,sony
Simple Plan,pop punk alternative rock pop rock power pop emo
Sum 41,pop punk skate punk alternative metal melodic hardcore
Five for Fighting,soft rock
Five for Fighting,heartland rock
Five for Fighting,alternative rock
Five for Fighting,pop rock
Five for Fighting,americana
The Fixx,new wave
The Fixx,pop rock
The Fixx,art rock
The Fixx,dance rock
Chubby Checker,rock and roll
Rainbow (rock band),hard rock
Rainbow (rock band),heavy metal
Survivor (band),rock
Survivor (band),arena rock
Survivor (band),hard rock
Bad Company,hard rock blues rock
Europe (band),arena rock hard rock glam metal blues rock heavy metal
Joe Satriani,instrumental rock hard rock blues rock
Kansas (band),progressive rock art rock hard rock
Halestorm,hard rock heavy metal alternative metal
A Perfect Circle,alternative rock hard rock
The Pretty Reckless,hard rock alternative rock blues rock
Lou Reed,rock
Lou Reed,art rock
Lou Reed,proto punk
Lou Reed,glam rock
Paul McCartney and Wings,soft rock
Small Faces,rock r and b beatsmall faces allmusic retrieved 26 march 2024 pop psychedelia proto punk progressive pop
Cage the Elephant,alternative rock indie rock psychedelic rock garage rock punk blues post punk
The Black Keys,garage rock blues rock indie rock
Cake (band),alternative rock
Cake (band),country
Cake (band),indie rock
Cake (band),funk rock
Morrissey,alternative rock
Morrissey,indie pop
Morrissey,indie rock
Morrissey,jangle pop
Chris Cornell,alternative metal
Chris Cornell,heavy metal
Chris Cornell,grunge
Chris Cornell,alternative rock
Chris Cornell,hard rock
Smash Mouth,alternative rock power pop pop rock ska punk
Thirty Seconds to Mars,alternative rock
Royal Blood (band),hard rock blues rock garage rock stoner rock alternative rock
Montgomery Gentry,country
Montgomery Gentry,southern rock
Montgomery Gentry,country rock
The Allman Brothers Band,southern rock
The Allman Brothers Band,blues rock
The Allman Brothers Band,jam band
Lynyrd Skynyrd,southern rock
Lynyrd Skynyrd,blues rock
Lynyrd Skynyrd,country rock
Lynyrd Skynyrd,hard rock
The Script,pop rock
The Script,soft rock
The Script,indie rock
Snow Patrol,alternative rock power pop post britpop indie rock
Mike and the Mechanics,rock pop rock
Parliament (band),funk
Parliament (band),r and b
Parliament (band),psychedelic soul
Funkadelic,funk rock
Funkadelic,psychedelic funk
Funkadelic,acid rock
Funkadelic,psychedelic rock
Parliament-Funkadelic,funk
Parliament-Funkadelic,psychedelic funk
Parliament-Funkadelic,funk rock
Parliament-Funkadelic,jet
Parliament-Funkadelic,google books
Parliament-Funkadelic,acid rock
Parliament-Funkadelic,progressive soul
Parliament-Funkadelic,the new york times
George Thorogood,blues rock hard rock boogie rock rock and roll
Electric Light Orchestra,progressive pop
Electric Light Orchestra,progressive rock
Electric Light Orchestra,orchestral popthe following references cite the band as either orchestral pop or symphonic pop:
Electric Light Orchestra,art rock
Roy Orbison,rock
Roy Orbison,pop
Roy Orbison,country
Roy Orbison,rock and roll
Roy Orbison,rockabilly
Pop Evil,hard rock alternative metal post grunge
Five Finger Death Punch,groove metal alternative metal
Daughtry (band),post grunge hard rock
John Fogerty,roots rock rock and roll country rock blues rock americana southern rock
The Cult,hard rock
The Cult,gothic rock
The Cult,alternative rock
The Cult,heavy metal
The Cult,post punk
The Strokes,indie rock garage rock revival post punk revival new wave
The Smiths,indie pop
The Smiths,indie rock
The Smiths,jangle pop
The Smiths,alternative rock
The Cranberries,alternative rock indie rock pop rock jangle pop post punk dream pop
Modest Mouse,indie rock alternative rock post punk revival punk rock synthpop emo
Blur (band),britpop indie rock alternative rock art pop
Sam Fender,rock indie rock pop rock heartland rock
The Killers,alternative rock pop rock new wave heartland rock
Kings of Leon,alternative rock
Kings of Leon,southern rock
Kings of Leon,indie rock
Kings of Leon,garage rock revival
Tracy Chapman,folk
Tracy Chapman,blues rock
Tracy Chapman,pop
Tracy Chapman,soul
James Taylor,soft rock
James Taylor,folk
The All-American Rejects,power pop alternative rock pop rock emo pop
Hoobastank,alternative rock post grunge funk metal ska punk
Live (band),alternative rock post grunge hard rock
Alice Cooper (band),hard rock
Alice Cooper (band),glam rock
Alice Cooper (band),shock rock
Alice Cooper (band),psychedelic rock
Audioslave,hard rock alternative metal
Bowling for Soup,pop punk pop rock power pop
Blues Traveler,blues rock folk rock alternative rock southern rock jam band
The Big Bopper,rock and roll
The Big Bopper,rockabilly
The Big Bopper,country
Ritchie Valens,rock and roll chicano rock
Joe Cocker,rock
Joe Cocker,blues
Joe Cocker,blue eyed soul
Joe Cocker,pop
Thousand Foot Krutch,christian rock christian metal heavy metal hard rock alternative rock rap metal
Matchbox Twenty,alternative rock post grunge
Lifehouse (band),alternative rock
Lifehouse (band),post grunge
Lifehouse (band),pop rock
Steve Miller Band,blues rock
Steve Miller Band,psychedelic rock
Steve Miller Band,pop rock
The White Stripes,garage rock
The White Stripes,blues rock
The White Stripes,alternative rock
The White Stripes,punk blues
The White Stripes,indie rock
Gene Vincent,rockabilly
Gene Vincent,rock and roll
Gene Vincent,country
Travis (band),post britpop pop rock alternative rock
Bay City Rollers,pop
Bay City Rollers,glam rock
Bay City Rollers,pop rock
The Four Seasons (band),"pop rock pop soulthe following sources cite the four seasons as either white soul, blue eyed soul, pop soul, or northern soul: doo wop rock and roll"
Starset,alternative rock electronic rock alternative metal progressive rock
X (American band),punk rock
X (American band),alternative rock
Huey Lewis and the News,rock
Huey Lewis and the News,new wave
Huey Lewis and the News,rhythm and blues
