artist,genre
Huey Lewis and the News,doo wop
Billy Squier,hard rock arena rock pop rock power pop
Billy Talent,punk rock alternative rock pop punk
Melissa Etheridge,heartland rock
Melissa Etheridge,roots rock
Melissa Etheridge,folk rock
Melissa Etheridge,blues rock
Melissa Etheridge,country rock
W.A.S.P. (band),heavy metal
W.A.S.P. (band),glam metal
The Mothers of Invention,jazz rock
The Mothers of Invention,experimental rock
The Mothers of Invention,progressive rock
The Mothers of Invention,comedy rock
The Mothers of Invention,blues rock
The Mothers of Invention,avant garde
The Mothers of Invention,doo wop
The Mothers of Invention,art rock
The Monkees,pop rock rock bubblegum psychedelia
Canned Heat,blues rock
Canned Heat,boogie rock
Buckcherry,hard rock alternative metal sleaze rock
Sly and the Family Stone,psychedelic soul funk rock progressive soul
The Boxtones,rock
Kaiser Chiefs,indie rock
Kaiser Chiefs,pop rock
Kaiser Chiefs,post punk revival
Kaiser Chiefs,art punk
Kaiser Chiefs,power pop
Kaiser Chiefs,pop punk
Kaiser Chiefs,alternative rock
Golden Earring,hard rock
Golden Earring,blues rock
Golden Earring,jazz rock
Golden Earring,psychedelic rock
Golden Earring,garage rock
Highly Suspect,alternative rock hard rock grunge garage rock
The Marshall Tucker Band,southern rock
The Marshall Tucker Band,country rock
The Marshall Tucker Band,progressive country
The Marshall Tucker Band,blues rock
The Marshall Tucker Band,jazz rock
Ten Years After,blues rock
Starship (band),rock
Starship (band),arena rock
Starship (band),pop rock
Manfred Mann (musician),beat blues rock r and b psychedelia jazz rock progressive rock hard rock
Hootie & the Blowfish,pop rock alternative rock soft rock roots rock heartland rock jangle pop
Social Distortion,punk rock cowpunk hardcore punk
Sublime (band),ska punk
Sublime (band),reggae rock
Sublime with Rome,reggae rock alternative rock hip hop dub ska punk punk rock
The J. Geils Band,rock
The J. Geils Band,blues rock
The J. Geils Band,new wave
UB40,reggae
UB40,dub
The Lovin' Spoonful,pop
The Lovin' Spoonful,rock
Michael Martin Murphey,progressive country
Michael Martin Murphey,western/cowboy
Michael Martin Murphey,bluegrass
Shakin' Stevens,rockabilly rock and roll
James Blunt,pop rock
James Blunt,folk rock
James Blunt,folk pop
James Blunt,soft rock
The Doobie Brothers,rock
The Doobie Brothers,soft rock
The Doobie Brothers,pop
The Doobie Brothers,blue eyed soul
Tenacious D,comedy rock
Tenacious D,acoustic rock
Tenacious D,hard rock
Tenacious D,heavy metal
Days of the New,post grunge alternative rock acoustic
Coheed and Cambria,progressive rock emo progressive metal
Black Veil Brides,hard rock alternative metal
Tommy James and the Shondells,rock
Tommy James and the Shondells,bubblegum
Tommy James and the Shondells,psychedelic
Duane Eddy,instrumental rock
Duane Eddy,rockabilly
Duane Eddy,rock and roll
Duane Eddy,country
Flogging Molly,celtic punk
Flogging Molly,folk punk
The Jesus and Mary Chain,noise pop alternative rock indie rock post punk
Kaleo (band),blues rock
Kaleo (band),indie folk
Kaleo (band),alternative rock
Ian Dury,new wave
Ian Dury,punk rock
Ian Dury,post punk
Ian Dury,funk
Ian Dury,disco
Ian Dury,pub rock
Jim Croce,folk
Jim Croce,soft rock
Collective Soul,alternative rock
Collective Soul,hard rock
Collective Soul,post grunge
Collective Soul,allmusic
FireHouse,glam metal hard rock
Smokie (band),pop rock
Smokie (band),soft rock
Smokie (band),glam rock
Smokie (band),allmusic
Catfish and the Bottlemen,alternative rock indie rock post punk revival
Crash Test Dummies,alternative rock
Crash Test Dummies,folk rock
The Outfield,pop rock power pop new wave
The Dave Clark Five,rock and roll
The Dave Clark Five,beat
The Dave Clark Five,pop
Vampire Weekend,indie rock indie pop worldbeat
The Stone Roses,madchester
The Stone Roses,indie rock
The Stone Roses,alternative rock
The Stone Roses,dance rock
The Stone Roses,neo psychedelia
Chris Rea,pop rock soft rock electric blues blues rock
Chris de Burgh,art rock pop soft rock
Greta Van Fleet,hard rock blues rock progressive rock
The Verve,neo psychedelia alternative rock britpop shoegaze
The Hives,garage rock revival
The Hives,garage punk
Ben Folds Five,alternative rock power pop
The Presidents of the United States of America (band),alternative rock pop punk post grunge
Blue October,alternative rock
Blue October,art rock
Blue October,post grunge
Blue October,new wave
Blue October,synth pop
Blue October,shoegaze
England Dan & John Ford Coley,pop rock
England Dan & John Ford Coley,soft rock
England Dan & John Ford Coley,country rock
